network_enp0s3_rx,network_enp0s3_tx,network_enp0s3_cx,mem_active,mem_cached,mem_shared,cpu_system,cpu_softirq,cpu_ctx_switches,cpu_interrupts,cpu_soft_interrupts,%user,%idle,label
54780,54720,109500,2731724800,7699513344,4934815744,50.1,34.6,3746,7617,6906,15,0.2,normal
77040,77100,154140,2731724800,7699513344,4934815744,48.6,36.5,3253,6440,5700,14.7,0.1,normal
69878,69818,139696,2731724800,7699513344,4934815744,48.6,36.5,3253,6440,5700,14.7,0.1,normal
81600,81600,163200,2731728896,7699517440,4934819840,50.9,34.8,3533,7209,6446,14.2,0,normal
68770,68640,137410,2731728896,7699517440,4934819840,50.9,34.8,3533,7209,6446,14.2,0,normal
96480,96480,192960,2731728896,7699517440,4934819840,48.4,36,4477,8196,7469,15.3,0.3,normal
49320,49260,98580,2731728896,7699517440,4934819840,48.4,36,4477,8196,7469,15.3,0.3,normal
83520,83580,167100,2731732992,7699521536,4934823936,53,32,3072,6517,5776,15,0,normal
65160,65160,130320,2731732992,7699521536,4934823936,53,32,3072,6517,5776,15,0,normal
91020,91020,182040,2731732992,7699521536,4934823936,48.6,37.7,3808,7740,6788,13.5,0.2,normal
57420,57360,114780,2731732992,7699521536,4934823936,48.6,37.7,3808,7740,6788,13.5,0.2,normal
87360,87420,174780,2731737088,7699525632,4934828032,51.1,34.7,3533,7066,6242,14.2,0,normal
62820,62820,125640,2731737088,7699525632,4934828032,51.1,34.7,3533,7066,6242,14.2,0,normal
86880,86880,173760,2731737088,7699525632,4934828032,51.2,35,3456,7301,6561,13.6,0.2,normal
60120,60120,120240,2731737088,7699525632,4934828032,51.2,35,3456,7301,6561,13.6,0.2,normal
82112,81900,164012,2731741184,7699529728,4934832128,50.7,34.3,3182,6734,6017,14.7,0.3,normal
66120,66060,132180,2731741184,7699529728,4934832128,50.7,34.3,3182,6734,6017,14.7,0.3,normal
77160,77220,154380,2731741184,7699529728,4934832128,49.1,37,3417,7116,6376,13.9,0,normal
66218,66218,132436,2731741184,7699529728,4934832128,49.1,37,3417,7116,6376,13.9,0,normal
80837,80378,161215,2731749376,7699542016,4934844416,49,34.7,4128,7212,6468,21.68,0.26,confidentiality
71727,68092,139819,2731749376,7699542016,4934844416,49,34.7,4128,7212,6468,16.1,0.3,normal
